   CROP        1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56
   #  NAME    WA      HI     TOP     TBS    DMLA    DLAI   DLAP1   DLAP2    RLAD    RBMD     ALT     GSI     CAF     SDW     HMX    RDMX    WAC2     CNY     CPY     CKY    WSYF     PST    COSD    PRYG    PRYF     WCY     BN1     BN2     BN3     BP1     BP2     BP3     BK1     BK2     BK3     BW1     BW2     BW3     IDC   FRST1   FRST2    WAVP    VPTH    VPD2   RWPC1   RWPC2    GMHU   PPLP1   PPLP2    STX1    STX2    BLG1    BLG2     WUB     FTO     FLT
    1 SOYB   25.00    0.30   25.00   10.00    5.00    0.90   15.05   50.95    0.10    1.00    3.00  0.0070    0.85   35.00    0.80    2.00  660.34  0.0699  0.0077  0.0196    0.23    0.60    0.63  198.08  100.00    0.13  0.0524  0.0265  0.0258  0.0074  0.0037  0.0035  0.0120  0.0100  0.0090   1.266   0.633   0.729      1.    5.15   15.95    5.00    0.50    4.75    0.40    0.20  100.00   30.43   50.71    0.20    5.00    0.01    0.10    0.00    0.00    0.00     15.SOYBEANS
    2 CORN   40.00    0.50   25.00    8.00    6.00    0.80   15.05   50.95    1.00      1.    3.00  0.0070    0.85   20.00    2.00    2.00  660.45    .013  0.0025  0.0032    0.40    0.60    3.45  103.16   80.22    0.15  0.0440    .015     .01  0.0062  0.0023  0.0018  0.0150  0.0120  0.0090   0.433   0.433   0.213      4.    5.15   15.95    8.00    0.50    4.75    0.40    0.20  100.00    4.47    7.77    0.12    1.70    0.01    0.10    10.2    0.00    0.00      6.CORN
    3 GRSG   37.00    0.50   27.50   10.00    5.50    0.80   15.01   60.95    0.50    0.50    2.00  0.0070    0.85    5.00    1.40    2.00  660.36  0.0199  0.0032  0.0039    0.35    0.60    3.66   92.83   75.00    0.13  0.0440  0.0164  0.0128  0.0060  0.0022  0.0018  0.0270  0.0180  0.0130   0.657   0.657   0.320      4.    5.15   15.95    7.00    0.50    4.75    0.40    0.20  100.00    3.20   10.90    0.20    4.80    0.01    0.10    0.00    0.00    0.00     10.GRAIN SORGHUM
    4 COTS   25.00    0.60   27.50   12.50    6.00    0.95   15.01   50.95    0.50    0.50    3.00  0.0200    0.85   25.00    1.00    2.20  660.30  0.0140  0.0020  0.0140    0.30    0.60    2.82 1212.75  116.87    0.01  0.0580  0.0190  0.0177  0.0081  0.0027  0.0025  0.0300  0.0220  0.0150   1.138   0.603   0.332      9.    5.15   15.95    3.00    1.00    4.30    0.40    0.20  100.00    3.20   10.90    0.05    7.70    0.01    0.10    0.00    0.27    0.38      7.STRIPPER COTTON
    5 COTP   25.00    0.40   27.50   12.50    6.00    0.95   15.01   50.95    0.50    0.50    3.00  0.0200    0.85   25.00    1.00    2.20  660.30  0.0190  0.0029  0.0140    0.30    0.60    2.82 1212.75  116.87    0.01  0.0580  0.0190  0.0177  0.0081  0.0027  0.0025  0.0300  0.0220  0.0150   1.138   0.603   0.332      9.    5.15   15.95    3.00    1.00    4.30    0.40    0.20  100.00    3.20   10.90    0.05    7.70    0.01    0.10    0.00    0.38    0.38      7.PICKER COTTON
    6 PNUT   30.00    0.00   25.00    9.00    5.00    0.85   15.01   50.95    1.00    0.50    4.00  0.0100    0.85   30.00    0.50    2.00  660.25  0.0650  0.0090  0.0060    0.30    0.60    1.80  498.33  551.00    0.06  0.0329  0.0167  0.0162  0.0039  0.0020  0.0019  0.0300  0.0200  0.0090   1.266   0.633   0.729      1.    5.15   15.95    4.00    0.50    4.75    0.40    0.60  100.00    3.10   10.90    0.29    3.20    0.01    0.10    0.00    0.00    0.00     15.PEANUTS
    7 SUNF   49.00    0.30   25.00     10.    5.00    0.55   15.01   50.95    1.00    2.00    3.00  0.0070    0.85    8.00    2.50    2.20  660.66  0.0287  0.0056  0.0071    0.27    0.60    8.71  271.22    5.00    0.06  0.0500  0.0230  0.0146  0.0063  0.0029  0.0023  0.0290  0.0200  0.0100   3.390   3.390   1.610      4.    5.15   15.95    7.00    0.50    4.75    0.40    0.20  100.00     2.6    6.95    0.05    7.70    0.01    0.10    0.00    0.00    0.00      3.SUNFLOWERS
    8 CSUN   60.00    0.25   25.00    6.00    5.00    0.55   15.01   50.95    1.00    2.00    3.00  0.0070    0.85    8.00    2.50    2.20  660.81  0.0287  0.0056  0.0071    0.22    0.60    8.71  271.22    5.00    0.06  0.0500  0.0230  0.0146  0.0063  0.0029  0.0023  0.0290  0.0200  0.0100   3.390   3.390   1.610      4.    5.15   15.95    7.00    0.50    4.75    0.40    0.20  100.00    2.63    6.99    0.05    7.70    0.01    0.10    0.00    0.00    0.00      3.CAN SUNFLOWERS
    9 FALW     30.    0.40    125.    100.    0.00    0.55   15.01   50.95    1.00    1.00    3.00  0.0130    0.85    0.01    2.00     10.  660.35  0.0280  0.0060  0.0070    0.30    0.60    4.41  190.00    5.00    0.06  0.0500  0.0230  0.0150  0.0060  0.0030  0.0020  0.0290  0.0200  0.0100   1.138   0.603   0.332      4.    5.15   15.95    7.00    0.50    4.75    0.40    0.20  100.00    1.10    4.90    0.05    7.70    0.01    0.10    0.00    0.00    0.00      0.FALLOW
   10 WWHT   35.00    0.45   15.00    0.00    6.00    0.60   15.01   50.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.00    2.00  660.47  0.0249  0.0033  0.0042    0.21    0.60    0.26  153.62   20.00    0.12  0.0600  0.0230  0.0134  0.0084  0.0032  0.0019  0.0230  0.0200  0.0170   3.390   3.390   1.610      5.    5.01   15.10      6.    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.07    6.00    0.01    0.10    0.00    0.00    0.00    150.WINTER WHEAT
   11 SWHT   35.00    0.45   15.00      3.    6.00    0.60   15.01   50.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.00    2.00  660.41  0.0303  0.0038  0.0039    0.21    0.60    0.22  157.66   20.00    0.12  0.0663  0.0250  0.0148  0.0084  0.0032  0.0019  0.0230  0.0200  0.0170   3.390   3.390   1.610      5.    5.01   15.10     10.    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.07    6.00    0.01    0.10    0.00    0.00    0.00    150.SPRING WHEAT
   12 CSWH   35.00    0.42   15.00    0.00    5.00    0.60   15.01   45.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.00    2.00  660.47  0.0303  0.0038  0.0039    0.21    0.60    0.26  157.66   20.00    0.12  0.0663  0.0250  0.0148  0.0084  0.0032  0.0019  0.0230  0.0200  0.0170   3.390   3.390   1.610      5.    5.01   15.10    8.00    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.07    6.00    0.01    0.10    0.00    0.00    0.00    150.CAN SPRING WHEAT
   13 DWHT   30.00    0.40   15.00    0.00    5.00    0.60   15.01   50.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.00    2.00  660.41  0.0263  0.0057  0.0048    0.20    0.60    0.26  154.35   20.00    0.12  0.0518  0.0199  0.0116  0.0089  0.0034  0.0020  0.0230  0.0200  0.0170   3.390   3.390   1.610      5.    5.01   15.10    7.00    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.07    6.00    0.01    0.10    0.00    0.00    0.00    150.DURAM WHEAT
   14 BARL   30.00    0.40   15.00    0.00    6.00    0.80   15.01   50.95    1.00    1.00    2.00  0.0060    0.85   90.00    1.00    2.00  660.45  0.0236  0.0029  0.0060    0.21    0.60    0.27  122.19   20.00    0.12  0.0590  0.0220  0.0131  0.0057  0.0022  0.0013  0.0160  0.0160  0.0150   3.390   3.390   1.610      5.    5.01   15.10    7.00    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.05    8.00    0.01    0.10    0.00    0.00    0.00    150.BARLEY
   15 CBAR   35.00    0.42   15.00    0.00    3.50    0.60   20.10   49.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.20    2.00  660.47  0.0236  0.0029  0.0050    0.21    0.60    0.27  122.19   20.00    0.12  0.0590  0.0220  0.0131  0.0057  0.0022  0.0013  0.0160  0.0160  0.0150   3.390   3.390   1.610      5.    5.01   15.10    8.00    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.05    8.00    0.01    0.10    0.00    0.00    0.00    150.CAN BARLEY
   16 OATS   35.00    0.42   15.00    0.00    6.00    0.80   15.01   50.95    1.00    1.00    2.00  0.0070    0.85   90.00    1.00    2.00  660.47  0.0316  0.0057  0.0047    0.21    0.60    0.03  124.03   20.00    0.10  0.0580  0.0224  0.0130  0.0053  0.0020  0.0012  0.0280  0.0200  0.0120   3.390   3.390   1.610      5.    5.01   15.10    7.00    0.50    4.75    0.40    0.20  100.00  125.60  250.95    0.07    8.00    0.01    0.10    0.00    0.00    0.00    150.OATS
